Stage,Rank,Name,HandleName,Nationality,Division,Impacts,SuccessRate,Dropped,Score,Progress,Time,Status
Stage: 6 Tread Lightly,18,Dehan Lotz,Lotz,South Africa,Open,6,60.00%,-4,60.00%,10/10,0.00,Completed
Stage: 6 Tread Lightly,19,Marieke Van Rooyen,Marieke,South Africa,Ladies,6,60.00%,-4,60.00%,8/10,0.00,Completed
Stage: 6 Tread Lightly,20,Wynand Brand,Wynand,South Africa,Open,6,60.00%,-4,60.00%,10/10,0.00,Completed
Stage: 6 Tread Lightly,21,Grant Bower,GeeBee,South Africa,Factory,5,50.00%,-5,50.00%,10/10,0.00,Completed
Stage: 6 Tread Lightly,22,Greg  Sykes,Gregs,South Africa,Senior,5,50.00%,-5,50.00%,10/10,0.00,Completed
Stage: 6 Tread Lightly,23,Liezel Foot,TheFoot,South Africa,Ladies,5,50.00%,-5,50.00%,10/10,0.00,Completed
Stage: 6 Tread Lightly,24,Werner Walkinshaw,WernerWW,South Africa,Open,5,50.00%,-5,50.00%,10/10,0.00,Completed
Stage: 6 Tread Lightly,25,Glen Clark ,Glen,South Africa,Senior,4,40.00%,-6,40.00%,10/10,0.00,Completed
Stage: 6 Tread Lightly,26,Handre van Niekerk,havn,South Africa,Factory,4,40.00%,-6,40.00%,9/10,0.00,Completed
Stage: 6 Tread Lightly,27,Ignatius Lambert,Skurmonkel,South Africa,Open,4,40.00%,-6,40.00%,10/10,0.00,Completed
Stage: 6 Tread Lightly,28,Stelios Christofi,Stel,South Africa,Factory,4,40.00%,-6,40.00%,10/10,0.00,Completed
Stage: 6 Tread Lightly,29,Jaco Bosman,JacoBos,South Africa,Open,3,30.00%,-7,30.00%,10/10,0.00,Completed
Stage: 7 Pole Yard,1,Jeanette Coetzee,JeanetteCoetzee,South Africa,Ladies,9,90.00%,-1,90.00%,9/10,0.00,Completed
Stage: 7 Pole Yard,2,Le Riche Coetzer Snr,Uncle_SAPRF,South Africa,Senior,9,90.00%,-1,90.00%,10/10,0.00,Completed
Stage: 7 Pole Yard,3,Dumisani Shabangu,Dumisani,South Africa,Open,8,80.00%,-2,80.00%,10/10,0.00,Completed
Stage: 7 Pole Yard,4,Kevin Goncalves,Kevo_,South Africa,Factory,7,70.00%,-3,70.00%,10/10,0.00,Completed
Stage: 7 Pole Yard,5,Malcolm  Coetzee,MalcolmCoetzee,South Africa,Open,7,70.00%,-3,70.00%,10/10,0.00,Completed
Stage: 7 Pole Yard,6,Andre Symington,JohanSym,South Africa,Senior,6,60.00%,-4,60.00%,8/10,0.00,Completed
Stage: 7 Pole Yard,7,Asharuf  Moorad ,Asharuf,South Africa,Open,6,60.00%,-4,60.00%,9/10,0.00,Completed
Stage: 7 Pole Yard,8,Sean Graham,SeanGraham,South Africa,Open,6,60.00%,-4,60.00%,10/10,0.00,Completed
